一日,ついたち,1
二日,ふつか,2
三日,みっか,3
四日,よっか,4
五日,いつか,5
六日,むいか,6
七日,なのか,7
八日,ようか,8
九日,ここのか,9
十日,とおか,10
十一日,じゅういちにち,11
十二日,じゅうににち,12
十三日,じゅうさんにち,13
十四日,じゅうよっか,14
十五日,じゅうごにち,15
十六日,じゅうろくにち,16
十七日,じゅうしちにち,17
十八日,じゅうはちにち,18
十九日,じゅうくにち,19
二十日,はつか,20
二十一日,にじゅういちにち,21
二十二日,にじゅうににち,22
二十三日,にじゅうさんにち,23
二十四日,にじゅうよっか,24
二十五日,にじゅうごにち,25
二十六日,にじゅうろくにち,26
二十七日,にじゅうしちにち,27
二十八日,にじゅうはちにち,28
二十九日,にじゅうくにち,29
三十日,さんじゅうにち,30
三十一日,さんじゅういちにち,31
月曜日,げつようび,Monday 
火曜日,かようび,Tuesday 
水曜日,すいようび, Wednesday 
木曜日,もくようび,Thursday 
金曜日,きにょうび,Friday 
土曜日,どようび,Saturday 
日曜日,にちようび,Sunday 
去年,きょねん,previous year
一昨年,おととし,2 years back
一昨日,おととい,2 days back
来年,らいねん,next year
再来年,さらいねん,2 years after
1.5円,いちてんごえん,1.5 yen
目標,もくひょう,goal(eye+mark)
所有,しょゆう,possessions
現在,げんざい,present(day)
解説,かいせつ,commentary(unravel+theory)
速度,そくど,speed
紹介,しょうかい,introduction
申し出,もうしで,proposal
依頼,いらい,request(relient+trust)
承諾,しょうだく,acceptance(hear+consent)
発言,はつげん,statement
共感,きょうか,empathy(both+emo)
嗜好,いこう,preferences(like+like)
対象,たいしょう,target(opposit+elephant)
挙げる,あげる,to rise (tr)
併せて,あわせて,in addition(=合う)
響き,ひびき,echo
好ましい,このましい,likeable
参考,さんこう,reference(going+consider)
各国語,かっこくご,every langauge
副詞,ふくし,Adverb(dup+word)
貧乏,びんぼう,poor(poor+limited)
指す,さす,to point
丁寧体,ていねいたい,polite style(street+peace+body)
身近な例,みぢかなれい,familiar example
後文,こうぶん,following sentence
結果,けっか,result(tie+result)
結論,けつろん,conclusion(tie+argument)
繋ぐ,つなぐ,to connect
添える,そえる,to accompany(with)
文末,ぶんまつ,end of sentence
日常的,にちじょうてき,day-to-day
既に,すでに,already
述べる,のべる,to state(to tell)
断る,ことわる,to refuse
誤用,ごよう,misuse
含める,ふくめる,to include
存在,そんざい,existance
語句,ごく,phrase(word+phrase)
発展,はってん,development(depart+unfold)
名乗る,なのる,to introduce oneself(as)
演じる,えんじる,to play(a role)
所在,しょざい,location
土産屋,みやげや,souvenir shop
項目,こうもく,item(item+look)
植物,しょくぶつ,plants
主体,しゅたい,subject
示す,しめす,to point out
対比,たいひ,contrast
片方,かたほう,one (of a pair)
広げる,ひろげる,to spread
撮る,とる,to take(photo)
硬貨,こうか,coin(hard+goods)
貼る,はる,to attach=張る
見回す,みまわす,to look around
代入,だいにゅう,assignment
名称,めいしょう,name(title)
助数詞,じょすうし,counter words
期間,きかん,period
授ける,さずける,to give
標準語,ひょうじゅんご,standard lang(mark+conform)
硬い,かたい,solid
比べる,くらべる,to compare
植える,うえる,to plant(tr)
演説,えんぜつ,public speech
既設,きせつ,existing(already+establish)
戦果,せんか,war results
乏しい,とぼしい,poor(results)
副作用,ふくさよう,Adverse effects(dup+make)
嗜眠,しみん,deep sleep(taste+sleep)
併用,へいよう,combined use(join+use)
所属,しょぞく,belonging to(place+belong)
スラスラ,すらすら,Smooth
実物,じつぶつ,real thing
構成,こうせい,composed of(appearance+turninto)
一定期間,いっていきかん,fixed interval
頻度,ひんど,frequency(rep+deg)
単位,たんい,unit(simple+rank)
扱う,あつかう,to deal with
定着,ていちゃく,fixation
括る,くくる,to tie together
状況,じょうきょう,situation(condit+condit) 
手帳,てちょう,memo pad(hand+notebook)
継続,けいぞく,Continuation(continue+continue)
切れ目のない,きれめのない,seamless
比較,ひかく,comparison(compare+compare)
続ける,つづける,to continue
復習,ふくしゅう,review(restore+learn)
面積,めんせき,area(area+area)
差,さ,difference
交える,まじえる,to mix(include)
